steam_appid,nome,data_de_lancamento,plataforma,generos,avaliacoes_positivas,avaliacoes_negativas,media_tempo_jogado,preco
80360,"Blackwell Deception",2012-01-13,windows,Adventure;Indie,312,11,205,6.99
90400,"Blue Toad Murder Filesâ„¢: The Mysteries of Little Riddle",2010-12-03,windows,Adventure;Casual,59,13,0,2.99
91100,SkyDrift,2011-11-21,windows,Indie;Racing,771,98,1329,6.99
91330,"Iron Front: Digital War Edition",2012-05-25,windows,Action;Simulation;Strategy,434,275,155,10.99
91700,"E.Y.E: Divine Cybermancy",2011-07-29,windows,Action;Indie;RPG,4459,906,413,6.99
91800,"Cloning Clyde",2011-03-15,windows,Casual;Indie,77,9,0,3.99
91810,"Ancients of Ooga",2011-05-20,windows,Indie;Casual,21,7,0,6.99
91900,"Post Apocalyptic Mayhem",2011-03-17,windows,Action;Racing,1219,225,193,6.99
92000,"Hydrophobia: Prophecy",2011-05-09,windows,Action;Adventure;Indie;Strategy,1270,827,106,3.99
92100,DETOUR,2011-05-16,windows,Indie;Strategy,1107,673,180,0.79
92200,"Gundemonium Recollection",2011-09-27,windows,Action;Indie,130,8,78,2.79
92210,"Hitogata Happa",2011-09-27,windows,Action;Indie,146,29,5,2.79
92220,GundeadliGne,2011-09-27,windows,Action;Indie,124,22,23,2.79
92300,"A.R.E.S.: Extinction Agenda",2011-01-19,windows,Action;Indie,564,253,191,3.99
92400,"B.U.T.T.O.N. (Brutally Unfair Tactics Totally OK Now)",2011-02-28,windows,Indie,36,13,0,1.49
92600,Xotic,2011-09-16,windows,Action;Indie,121,39,54,7.19
92700,"Shadow Harvest: Phantom Ops",2011-04-15,windows,Action,36,79,58,6.99
92900,"Agricultural Simulator 2011: Extended Edition",2011-02-23,windows,Simulation,84,82,0,2.09
94000,"Dinner Date",2011-03-01,windows,Indie;Casual,445,371,0,2.89
95900,"Air Conflicts: Secret Wars",2011-07-15,windows,Action;Simulation,167,111,20,4.79
96100,"Defy Gravity Extended",2016-03-18,windows,Action;Casual;Indie,7553,1224,158,0.79
96800,Nexuiz,2012-05-10,windows,Action,167,105,9,7.99
96900,"Slam Bolt Scrappers",2013-03-14,windows,Action;Indie;Strategy,25,15,0,6.99
97100,"Section 8Â®: Prejudiceâ„¢",2011-05-04,windows,Action,707,217,53,6.99
97110,"Kohan: Immortal Sovereigns",2011-08-24,windows,Strategy,36,7,0,6.99
97120,"Kohan: Ahriman's Gift",2011-08-24,windows,Strategy,42,5,0,6.99
97130,"Kohan II: Kings of War",2011-08-24,windows,Strategy,91,8,0,6.99
97330,"Magic: The Gathering - Duels of the Planeswalkers 2013",2012-06-20,windows,Strategy,921,130,1070,6.99
98300,"Toy Soldiers",2012-04-27,windows,Action;Casual;Simulation;Strategy,1032,108,148,4.99
98400,"Hard Reset Extended Edition",2012-07-12,windows,Action;Indie,3225,656,158,9.99
98500,"Naval Warfare",2011-05-25,windows,Action;Indie,134,121,0,1.99
98900,"Alien Hallway",2011-08-19,windows,Action;Casual;Indie;Strategy,141,91,0,3.99
99100,"Dungeons and Dragons: Daggerdale",2011-06-24,windows,Action;RPG,97,283,0,10.99
99120,"Yar's Revenge",2011-04-28,windows,Action,29,20,0,6.99
99300,"Renegade Ops",2011-10-26,windows,Action,1773,297,18,9.99
99400,"Garshasp: The Monster Slayer",2011-05-09,windows,Action;Indie,156,166,0,3.99
99410,"Garshasp: Temple of the Dragon",2012-09-24,windows,Action;Indie,40,81,0,3.99
102200,"Runespell: Overture",2011-07-20,windows,Adventure;Indie;RPG,257,76,96,7.99
